startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99
2017-03-21,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2457,18924.96,968.7429,1648.105,2812.796,4147.782
2017-03-22,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2806,21716.52,1021.725,1703.083,3080.885,5164.772
2017-03-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2927,30562.88,984.3756,1609.343,3115.027,5193.032
2017-03-24,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1808,6834.438,1015.486,1719.234,2929.113,4313.839
2017-03-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2701,19436.12,1140.592,1828.136,3155.829,5304.949
2017-03-28,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2841,14941.18,1125.511,1784.684,3046.873,4205.995
2017-03-29,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2639,29417.45,938.1329,1597.563,2899.619,5321.066
2017-03-30,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,3376,60016.07,859.3615,1443.636,2740.546,4877.952
2017-03-31,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2371,18936.96,890.6524,1477.593,2578.107,4187.45
2017-04-03,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,3297,13518.56,1031.228,1680.655,2924.737,4546.601
2017-04-04,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2727,18295.65,921.8855,1484.347,2577.925,3859.3
2017-04-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2401,10353.83,961.5381,1584.925,2749.947,4171.52
2017-04-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2830,19296.72,921.8613,1499.968,2781.533,4375.282
2017-04-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2285,13764.52,897.669,1543.578,2874.726,4203.125
2017-04-10,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2827,14391.22,953.1122,1593.714,2937.313,4406.138
2017-04-11,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2758,12317.72,968.75,1559.815,2812.608,4546.769
2017-04-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2412,21725.37,968.7733,1625.023,2968.76,4797.998
2017-04-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2334,13661.84,984.3588,1673.642,3093.14,5062.397
2017-04-14,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1395,8298.519,1001.193,1660.525,3102.336,4875.36
2017-04-17,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2175,25010.99,999.9762,1694.15,3121.773,8139.064
2017-04-18,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2079,7741.42,999.9814,1609.357,3036.889,4527.164
2017-04-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2724,24850.09,999.9808,1673.135,2936.611,4646.929
2017-04-20,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2291,11271.82,999.9909,1609.347,2984.358,4647.122
2017-04-21,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1847,7487.923,1020.908,1673.834,2798.957,4397.225
2017-04-24,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2858,18931.37,968.7323,1572.453,2907.558,4399.108
2017-04-25,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2789,17144.68,968.7318,1622.624,2953.124,4835.749
2017-04-26,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2348,22343.78,977.5535,1624.978,3058.839,5135.46
2017-04-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2037,8982.677,1012.228,1640.599,3031.213,4593.773
2017-04-28,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2240,19559.48,995.5268,1644.64,2953.44,4437.426
2017-05-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2540,9244.393,1015.602,1703.185,3015.727,4374.944
2017-05-03,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2765,19286.05,1031.24,1705.973,3241.053,5265.474
2017-05-04,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2816,18925.89,1062.473,1852.497,3742.921,7168.519
2017-05-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1868,12060.07,1000.001,1687.49,3125.021,4859.691
2017-05-08,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2752,19426.45,1031.211,1718.769,3124.991,4765.598
2017-05-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2526,8455.608,984.3825,1625.009,2985.49,4718.689
2017-05-10,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2295,19084.5,999.9868,1609.385,3042.731,4760.73
2017-05-11,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2214,12405.88,960.0217,1592.63,2800.022,4061.36
2017-05-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1942,14944.98,898.5694,1453.761,2524.107,4439.938
2017-05-15,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2743,18929.46,890.6196,1468.719,2675.395,4082.24
2017-05-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2549,10953.17,859.3445,1374.947,2539.13,4066.705
2017-05-17,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2316,23582.67,890.8467,1485.576,2632.65,4320.421
2017-05-18,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2425,19502.26,912.5931,1460.138,2550.806,3845.06
2017-05-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1765,18994.1,937.509,1487.236,2593.142,3926.561
2017-05-22,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2628,18954.47,937.5285,1562.499,2789.354,4015.341
2017-05-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2814,15583.16,968.7911,1551.585,2674.6,4171.761
2017-05-24,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2598,19481.38,1109.396,1946.501,3969.178,7160.312
2017-05-25,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2584,25819.54,965.2893,1624.853,2842.518,5420.148
2017-05-26,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1805,9912.212,921.885,1550.279,2803.564,4095.573
2017-05-29,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1122,21665.15,890.6311,1412.408,2661.211,3962.871
2017-05-30,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,3198,12889.79,890.6259,1502.953,2612.926,3686.233
2017-05-31,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2642,13314.03,891.1778,1465.734,2669.272,4640.453
2017-06-01,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,3226,19250.73,937.4524,1511.611,2750.964,4376.593
2017-06-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2076,12492.36,906.2289,1515.583,2656.204,4843.961
2017-06-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,3172,11911.33,844.522,1423.052,2659.404,4470.104
2017-06-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,3716,14525.89,859.4153,1390.593,2656.23,4000.024
2017-06-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,3236,19255.47,937.4896,1499.044,2738.134,4507.882
2017-06-08,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2906,8224.897,874.9716,1437.486,2722.043,4593.897
2017-06-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2340,7266.524,781.2309,1300.339,2390.601,3771.974
2017-06-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2737,11859.84,828.1504,1370.257,2584.73,4170.246
2017-06-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2559,15229.06,797.1085,1363.453,2590.684,4280.634
2017-06-14,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2909,12844.13,874.4773,1484.408,2860.635,4473.684
2017-06-15,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1841,19900.26,828.0627,1393.83,2687.493,6207.285
2017-06-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1924,27596.97,830.1464,1421.919,2843.709,8339.656
2017-06-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2967,64757.55,812.4563,1399.302,2707.846,5205.768
2017-06-20,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2855,9398.188,828.7688,1410.235,2484.673,3988.297
2017-06-21,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2347,9392.942,781.2051,1324.392,2540.342,3689.319
2017-06-22,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2431,8050.938,765.5033,1278.148,2499.955,3515.649
2017-06-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1856,7092.675,906.412,1530.647,2718.513,3746.214
2017-06-26,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2835,29035.84,842.1232,1473.351,2976.112,6560.695
2017-06-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2238,10725.83,890.6749,1468.714,2751.753,4538.214
2017-06-28,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2390,19189.23,911.3343,1593.719,2995.287,4481.041
2017-06-29,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2492,19255.23,890.6367,1531.26,2968.737,4256.976
2017-06-30,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1714,13187.5,906.3185,1575.563,2885.633,4175.075
2017-07-03,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1852,35723.3,843.7836,1435.707,3090.869,8019.845
2017-07-04,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1199,16905.58,812.498,1359.423,3087.153,9218.985
2017-07-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2644,47780.75,859.3935,1421.861,2940.343,7765.806
2017-07-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2664,19197.21,784.2902,1296.858,2578.624,4068.285
2017-07-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1891,6506.371,812.4672,1343.741,2550.068,4104.085
2017-07-10,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2440,21588.53,828.1531,1443.324,2964.02,6667.5
2017-07-11,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2193,19208.55,812.5093,1453.115,2788.399,4262.011
2017-07-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2006,15174.34,841.3676,1493.702,2812.594,5036.688
2017-07-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1960,37829.13,840.0314,1521.342,3097.772,6729.739
2017-07-14,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1623,13693.96,796.8917,1379.891,2736.323,4965.133
2017-07-17,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2094,14298.63,890.6091,1521.25,3246.308,7513.692
2017-07-18,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2037,10031.1,859.7563,1504.019,2937.782,4470.013
2017-07-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2516,19194.95,812.4795,1405.579,2768.146,4596.609
2017-07-20,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2259,54433.82,828.1272,1484.302,3140.858,9023.825
2017-07-21,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1470,11163.94,890.6289,1485.438,2831.291,4133.647
2017-07-24,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2458,11009.39,957.0246,1625.073,2913.926,4249.927
2017-07-25,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2363,24065.23,859.3664,1472.306,2766.077,4700.864
2017-07-26,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2232,19182.76,958.1647,1624.625,3120.821,6058.236
2017-07-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1832,10070.46,908.4435,1651.701,3205.581,5829.71
2017-07-28,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1558,11051.88,969.2348,1613.519,3225.698,5819.553
2017-07-31,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2124,7855.419,912.8587,1546.884,2933.062,4481.854
2017-08-01,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2254,10533.85,937.5256,1625.523,3127.487,4877.74
2017-08-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1927,11676.56,890.6917,1521.841,3019.409,4190.415
2017-08-03,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2057,12525.62,942.3057,1645.75,3169.429,4628.636
2017-08-04,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1410,11881.73,840.4572,1557.977,3179.805,5715.25
2017-08-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1636,12751.43,936.0427,1664.782,3208.489,6174.37
2017-08-08,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,708,12070.06,837.348,1549.306,3485.05,5358.698
2017-08-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2130,9515.847,856.9622,1651.215,3234.553,5398.12
2017-08-10,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2772,19214.44,843.8959,1624.907,3363.625,5883.551
2017-08-11,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1922,9496.629,812.5218,1421.912,2749.199,4294.928
2017-08-14,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2272,11373.74,832.2269,1558.799,3015.743,5523.322
2017-08-15,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1991,12807.89,874.2089,1586.044,2953.198,5381.486
2017-08-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2471,15075.05,888.8133,1608.409,3065.274,5286.178
2017-08-17,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2271,12962.74,906.2674,1640.673,3315.471,4671.382
2017-08-18,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1719,15568.99,925.0297,1644.7,3123.035,4739.491
2017-08-21,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2425,56264.73,953.2555,1626.958,3115.068,5218.292
2017-08-22,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2571,19786.11,1083.823,1857.829,3705.63,6644.086
2017-08-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2668,22651.85,947.7338,1687.358,3563.071,7765.305
2017-08-24,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2451,30093.58,908.913,1656.267,3096.759,5067.475
2017-08-25,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1879,12393.87,896.7565,1593.789,3140.65,4874.724
2017-08-28,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,3087,9379.798,937.5313,1625.162,3125.146,4865.833
2017-08-29,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2423,17322.49,1015.904,1841.217,3485.751,6843.911
2017-08-30,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2514,12337.59,1017.233,1750.038,3141.301,4859.324
